Тип занятия,Часы,Тема,Аннотация
Лекция 1,2-2,"Основные положения теории баз данных, хранилищ данных, баз знаний.",
Лекция 2,2-4,Методы поддержки целостности баз данных. Ссылочная целостность.,
Лекция 3,2-6,Основные принципы построения моделей баз данных. Проектирование базы данных. Уровни проектирования базы данных: концептуальный логический и физический. Пример разработки моделей баз данных,
Лекция 4,2-8,Принципы нормализации баз данных. Нормальные формы БД. Правила Кодда.,
Лекция 5,2-10,Модели и структуры информационных систем. Общие сведения. Архитектуры информационных систем: «файл—сервер и «клиент—сервер».,
Лекция 6,2-12,Транзакции. Понятие и характеристики транзакций. Операторы работы с транзакциями. Уровни изоляции.,
Лекция 7,2-14,Хранилище данных.,
Лекция 8,2-16,XML-данные.,
Лекция 9,2-18,Введение в Microsoft SQL Server. Общие сведения. Виды баз данных. Файлы баз данных. Файловые группы. ,
Лекция 10,2-20,"Режимы файлов баз данных. Экземпляры ядра системы управления базами данных автономная база данных. Схемы и объекты баз данных, системные компоненты и программные средства системы управления базами данных.",
Лекция 11,2-22,"Версии, установка и настройка сервера. Версии Microsoft SQL Server. Установка сервера. Настройка сервера.",
Лекция 12,2-24,Инструментальные средства разработки баз данных. Создание и настройка базы данных. Создание таблиц и работа с таблицами базы данных.,
Лекция 13,2-26,Системные базы данных. Общие сведения. База данных Master. База данных Model. База данных Tempdb. База данных Msdb. База данных Resource.,
Практика 1,2-28,Практическая работа №1. Разработка концептуальной модели базы данных,"### Краткое содержание занятия 'Практика 1': Практическая работа №1. Разработка концептуальной модели базы данных

#### Цели занятия:
- Ознакомить студентов с основами проектирования баз данных.
- Научить студентов разрабатывать концептуальные модели баз данных с использованием нотаций ER-диаграмм (Entity-Relationship).

#### Ключевые термины:
- Концептуальная модель базы данных
- Сущность (Entity)
- Атрибут (Attribute)
- Связь (Relationship)
- ER-диаграмма (Entity-Relationship Diagram)
- Нормализация
- Первичный ключ (Primary Key)
- Внешний ключ (Foreign Key)

#### Знания и навыки, которые должны получить студенты:
- Понимание принципов проектирования баз данных.
- Умение идентифицировать сущности и их атрибуты.
- Способность формулировать связи между сущностями.
- Навыки создания ER-диаграмм.
- Знание основ нормализации данных.

#### Работы, которые должны выполнить студенты:
1. **Исследование предметной области**: Выбрать реальную или гипотетическую предметную область (например, библиотека, интернет-магазин, учебный процесс) и собрать требования к базе данных.
   
2. **Определение сущностей и атрибутов**: На основе собранных требований определить ключевые сущности и их атрибуты.

3. **Формулирование связей**: Определить и описать связи между сущностями (например, один-к-одному, один-ко-многим, многие-ко-многим).

4. **Создание ER-диаграммы**: Используя инструменты для создания диаграмм (например, Lucidchart, Draw.io, MySQL Workbench), студенты должны визуализировать свои концептуальные модели в виде ER-диаграмм.

5. **Презентация результатов**: Подготовить краткую презентацию, в которой студенты представят свои концептуальные модели и объяснят выбор сущностей, атрибутов и связей.

#### Ожидаемые результаты:
Студенты должны продемонстрировать способность проектировать концептуальные модели баз данных и применять полученные знания на практике, создавая ER-диаг"
Практика 2,2-30,Практическая работа №2. Создание логической модели данных и нормализация отношений,
Практика 3,2-32,Практическая работа №3. Реализация физической модели данных в выбранной СУБД,
Практика 4,2-34,Практическая работа №4. Анализ и обеспечение ссылочной целостности в базе данных,
,2-36,Консультация.,
Лекция 14,2-38,Введение в язык SQL. Диалекты языка SQL. Типы данных.,
Лекция 15,2-40,Управление базами данных. Инструкция для создания базы данных. Параметры для автономной базы данных. Спецификация файлов данных и файлов журнала транзакций. Действия по изменению свойств базы данных.,
Лекция 16,2-42,"Управление таблицами. Общие сведения. Создание новой таблицы. Изменение структуры таблиц с данными, удаление таблиц.",
Лекция 17,2-44,"Ограничения, накладываемые на столбцы таблицы. ",
Лекция 18,2-46,Создание и заполнение базы данных.,
Практика 5,2-48,Практическая работа №5. Создание базы данных с использованием инструкции CREATE DATABASE,
Практика 6,2-50,Практическая работа №6. Проектирование и создание таблиц с различными типами данных,
Практика 7,2-52,Практическая работа №7. Реализация ограничений целостности на уровне столбцов и таблиц,
Практика 8,2-54,Практическая работа №8. Заполнение базы данных тестовыми данными,
Лекция 19,2-56,Индексы. Общие сведения. Типы индексов,
Практика 9,2-58,Практическая работа №9. Создание кластеризованных индексов,
Практика 10,2-60,Практическая работа №10. Создание некластеризованных индексов,
Практика 11,2-62,Практическая работа №11. Анализ эффективности использования индексов,
Практика 12,2-64,Практическая работа №12. Оптимизация производительности базы данных с помощью индексов,
Лекция 20,2-66,"Языки, представленные в SQL Server. Зарезервированные слова T-SQL.",
Лекция 21,2-68,Оператор SELECT. Общие сведения. Основные предложения синтаксиса инструкции. ,
Лекция 22,2-70,Оператор UNION. Общие сведения. ,
Лекция 23,2-72,"Операторы EXCEPT, INTERSECT. Общие сведения.",
Практика 13,2-74,Практическая работа №13. Формирование простых запросов с использованием оператора SELECT,
Практика 14,2-76,Практическая работа №14. Объединение результирующих наборов с помощью оператора UNION,
Практика 15,2-78,Практическая работа №15. Использование операторов EXCEPT и INTERSECT для работы с наборами данных,
Лекция 24,2-80,Соединение таблиц. Объединение результирующих наборов данных двух или нескольких запросов. ,
Лекция 25,2-82,Вычисления в запросах. Группирующие запросы. ,
Лекция 26,2-84,Вложенные запросы. Использование сложных условий поиска.,
Практика 16,2-86,Практическая работа №16. Реализация различных типов соединений таблиц,
Практика 17,2-88,Практическая работа №17. Создание группирующих запросов с агрегатными функциями,
Практика 18,2-90,Практическая работа №18. Разработка сложных запросов с использованием вложенных подзапросов,
Лекция 27,2-92,Представления. Общие сведения. Виды представлений. Создание представления. ,
Лекция 28,2-94,Обращение к представлению. Изменение представления и вставка данных с помощью представления. Удаление представления.,
Практика 19,2-96,Практическая работа №19. Создание простых представлений,
Практика 20,2-98,Практическая работа №20. Разработка сложных представлений с объединением таблиц,
Практика 21,2-100,Практическая работа №21. Модификация данных через представления,
Практика 22,2-102,Практическая работа №22. Анализ производительности представлений,
Практика 23,2-104,Практическая работа №23. Изменение и удаление представлений,
Практика 24,2-106,Практическая работа №24. Создание индексированных представлений,
Лекция 29,2-108,Язык хранимых процедур и триггеров. Блок операторов.,
Лекция 30,2-110,Хранимые процедуры. Общие сведения. Создание хранимой процедуры. Вызов и выполнение хранимой процедуры. ,
Лекция 31,2-112,"Выборка, обработка и изменение данных в хранимой процедуре. Завершение выполнения, выход из хранимой процедуры. Удаление хранимой процедуры. Примеры создания и обращения к хранимым процедурам.",
Практика 25,2-114,Практическая работа №25. Разработка простых хранимых процедур,
Практика 26,2-116,Практическая работа №26. Создание параметризованных хранимых процедур,
Практика 27,2-118,Практическая работа №27. Реализация хранимых процедур с обработкой данных,
Практика 28,2-120,Практическая работа №28. Обработка ошибок в хранимых процедурах,
Практика 29,2-122,Практическая работа №29. Оптимизация и отладка хранимых процедур,
Лекция 32,2-124,"Функции, определенные пользователем. Создание функции. Изменение функции. Удаление функции. Использование функции.",
Практика 30,2-126,Практическая работа №30. Создание скалярных пользовательских функций,
Практика 31,2-128,Практическая работа №31. Разработка табличных пользовательских функций,
Практика 32,2-130,Практическая работа №32. Использование пользовательских функций в запросах,
Практика 33,2-132,Практическая работа №33. Модификация и удаление пользовательских функций,
Лекция 33,2-134,Триггеры. Общие сведения. Виды триггеров,
Практика 34,2-136,Практическая работа №34. Создание DML-триггеров AFTER,
Практика 35,2-138,Практическая работа №35. Разработка DML-триггеров INSTEAD OF,
Практика 36,2-140,Практическая работа №36. Реализация DDL-триггеров,
Практика 37,2-142,Практическая работа №37. Управление триггерами и анализ их воздействия на производительность,
,2-144,Консультация.,
Лекция 34,2-146,Резервное копирование и восстановление данных. Общие сведения. Типы резервного копирования. Модели восстановления баз данных. Восстановление журнала транзакций. Выполнение резервного копирования. Восстановление резервной копии. Использование резервного сервера.,
Практика 38,2-148,Практическая работа №38. Выполнение полного резервного копирования базы данных,
Практика 39,2-150,Практическая работа №39. Реализация дифференциального резервного копирования,
Практика 40,2-152,Практическая работа №40. Настройка резервного копирования журналов транзакций,
Практика 41,2-154,Практическая работа №41. Восстановление базы данных из полной резервной копии,
Практика 42,2-156,Практическая работа №42. Восстановление базы данных на момент времени,
Практика 43,2-158,Практическая работа №43. Отработка различных сценариев аварийного восстановления,
Практика 44,2-160,Практическая работа №44. Разработка стратегии резервного копирования для реального проекта,
,2-162,Консультация.,
Лекция 35,2-164,Промежуточная аттестация (ДФА),
